,Date,Value
591,2022-12-12 04,160.0
553,2022-12-12 05,158.51
487,2022-12-12 06,158.4
386,2022-12-12 07,158.0
360,2022-12-12 08,157.85
327,2022-12-12 09,157.05
136,2022-12-12 10,155.0
6,2022-12-12 11,154.25
1267,2022-12-19 04,146.0
1192,2022-12-19 05,144.25
1000,2022-12-19 06,144.5
893,2022-12-19 07,143.1
757,2022-12-19 08,142.0
737,2022-12-19 09,142.0
696,2022-12-19 10,141.4
602,2022-12-19 11,143.28
