,Date,Value
432,2022-12-16 04,62.5
335,2022-12-16 05,61.48
269,2022-12-16 06,61.3
232,2022-12-16 09,61.1
208,2022-12-16 10,61.29
79,2022-12-16 11,61.6
0,2022-12-16 12,61.67
1260,2022-12-20 04,61.0
1228,2022-12-20 05,60.4
1134,2022-12-20 06,59.8
1006,2022-12-20 07,58.88
876,2022-12-20 08,58.0
718,2022-12-20 09,56.89
570,2022-12-20 10,56.26
441,2022-12-20 11,56.36
